ZA,ZB,alpha,chi
1,1,4.051163,2.845627
1,6,1.038716,0.204582
1,7,1.049958,0.173966
1,8,1.50803,0.160602
1,9,3.104012,0.587775
1,14,1.542308,0.688945
1,15,1.694074,1.829199
1,16,2.182464,0.703252
1,17,2.548456,0.721003
1,35,2.339252,1.27039
1,53,2.303917,2.456367
6,6,2.655746,0.937818
6,7,2.734636,0.959163
6,8,2.850931,0.826848
6,9,3.230134,0.946026
6,14,1.673306,0.501779
6,15,1.77026,1.381969
6,16,2.429136,0.843145
6,17,2.450283,0.690352
6,35,2.252349,0.968921
6,53,2.148076,1.536813
7,7,2.786676,0.86343
7,8,2.841313,0.69919
7,9,3.207271,0.894011
7,14,1.854197,0.671576
7,15,1.95858,1.312039
7,16,2.653791,1.197307
7,17,2.385624,0.659831
7,35,3.015469,4.148435
7,53,2.2043,1.197247
8,8,2.457135,0.356439
8,9,3.140885,0.698033
8,14,1.824047,0.502254
8,15,2.29308,1.314436
8,16,2.508022,0.72934
8,17,2.288635,0.437776
8,35,2.73928,1.425004
8,53,2.031236,0.673908
9,9,4.49294,3.111004
9,14,2.160762,0.564372
9,15,2.513083,1.086188
9,16,2.533157,0.53408
9,17,2.575402,0.503186
9,35,2.756179,0.915922
9,53,2.168508,0.518622
14,14,1.109923,0.369696
14,15,0.895674,0.616954
14,16,1.647931,0.553963
14,17,1.818389,0.59006
14,35,1.715815,1.126731
14,53,1.472015,1.272495
15,15,1.329209,2.558579
15,16,1.596824,1.189185
15,17,1.297513,0.496813
15,35,1.664343,1.746224
15,53,1.560276,2.308251
16,16,1.98512,0.509363
16,17,2.167945,0.624384
16,35,2.099922,1.004759
16,53,2.108468,1.287638
17,17,2.46999,0.900377
17,35,1.906403,0.581542
17,53,1.67448,0.582734
35,35,2.147378,1.599562
35,53,1.793757,1.192163
53,53,1.619225,1.278518
