Z,symbol,n_valence,Uss,Upp,zeta_s,zeta_p,beta_s,beta_p,gss,gsp,gpp,gp2,hsp,alpha
1,H,1,-11.906276,0,1.331967,0,-6.989064,0,12.848,0,0,0,0,2.5441341
6,C,4,-52.279745,-39.205558,1.787537,1.787537,-18.985044,-7.934122,12.23,11.47,11.08,9.84,2.43,2.54638
7,N,5,-71.932122,-57.172319,2.255614,2.255614,-20.495758,-20.495758,13.59,12.66,12.98,11.59,3.14,2.861342
8,O,6,-99.644309,-77.797472,2.699905,2.699905,-32.688082,-32.688082,15.42,14.48,14.52,12.98,3.94,3.160604
9,F,7,-131.071548,-105.782137,2.848487,2.848487,-48.290466,-36.50854,16.92,17.25,16.71,14.91,4.83,3.4196606
14,Si,4,-37.037533,-27.769678,1.315986,1.709943,-9.086804,-1.075827,9.82,8.36,7.31,6.54,1.32,2.205316
15,P,5,-56.14336,-42.85108,2.10872,1.78581,-6.7916,-6.7916,11.56,10.08,8.64,7.68,1.92,2.41528
16,S,6,-72.242281,-56.973207,2.312962,2.009146,-10.76167,-10.108433,12.88,11.26,9.9,8.83,2.26,2.478026
17,Cl,7,-100.227166,-77.378667,3.784645,2.036263,-14.26232,-14.26232,15.03,13.16,11.3,9.97,2.42,2.542201
35,Br,7,-99.9864405,-75.6713075,3.8543019,2.1992091,-8.917107,-9.94374,15.0364395,13.0346824,11.2763254,9.8544255,2.4558683,2.4457051
53,I,7,-100.0030538,-74.6114692,2.272961,2.169498,-7.414451,-6.196781,15.0404486,13.056558,11.1477837,9.9140907,2.456382,2.20732
