Z,symbol,n_valence,Uss,Upp,Udd,zeta_s,zeta_p,zeta_d,beta_s,beta_p,beta_d,gss,gsp,gpp,gp2,hsp,alpha,F0SD,G2SD,rho_core,tail_s,tail_p,tail_d,K1,L1,M1,K2,L2,M2,K3,L3,M3,K4,L4,M4
1,H,1,-11.070112,0.0,0.0,1.260237,0.0,0.0,-8.389745,0.0,0.0,14.149656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177854,1.42871,0.991324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C,4,-51.37262,-40.135421,0.0,1.942244,1.708723,0.0,-14.41493,-7.893717,0.0,12.347323,11.932801,10.452226,9.385498,0.802634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045888,5.037055,1.588715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,N,5,-61.62326,-48.949816,0.0,2.354344,2.028288,0.0,-22.110958,-15.464433,0.0,11.881002,9.572117,12.21014,10.299947,2.977433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015143,4.734148,1.516714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,O,6,-96.087736,-71.087738,0.0,5.972309,2.349017,0.0,-67.776339,-20.267981,0.0,14.955121,16.088521,12.403337,10.499706,5.028656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016243,1.87197,1.84436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F,7,-137.395658,-98.051239,0.0,6.07003,2.930631,0.0,-69.725688,-29.746124,0.0,13.745134,17.991219,9.188912,12.322503,2.906187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Si,4,-41.586357,-36.694055,-16.775635,1.433994,1.671776,1.221915,-10.755885,-3.922152,-4.736877,8.159128,11.213512,8.521933,8.493112,0.959479,0.0,0.0,0.0,0.0,2.00257,0.818377,2.591238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,P,5,-66.928393,-30.435889,-9.320605,2.257933,1.555172,1.235995,-45.578128,-12.48791,-34.182622,3.279518,7.56154,5.922736,3.99043,1.699233,0.0,0.0,0.0,0.0,4.92533,1.040649,12.110811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,S,6,-51.157757,-40.352643,-48.529935,2.046153,1.807678,3.510309,-11.42255,-7.191896,-10.695329,8.728478,6.483871,7.357401,6.875448,3.012199,0.0,0.0,0.0,0.0,1.131343,0.823803,2.296065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Cl,7,-68.847511,-56.857991,-49.258143,2.223076,2.264466,0.949994,-2.893931,-13.528255,1.888153,11.540894,9.032229,8.457262,7.988115,5.000141,0.0,0.0,0.0,0.0,1.9929,1.87446,5.469221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Br,7,-49.141354,-48.274409,2.677328,3.72548,2.242318,1.591034,-32.458894,-10.270309,-19.977175,8.131665,4.285572,8.056519,7.520115,1.567275,0.0,0.0,0.0,0.0,10.522069,9.531017,5.776829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,I,7,-63.618928,-45.760969,6.109119,3.316202,2.449124,1.716121,-37.373318,-10.174482,-11.807267,7.658717,8.237228,5.66703,5.661068,2.688576,0.0,0.0,0.0,0.0,4.000764,3.993847,3.946706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
